FeatureName,ShapValueMean
GuanineRatio,0.0003230996104653157
DinucleotideTT,0.00026736091673011837
DinucleotideGC,6.460976301590284e-05
DinucleotideAC,4.59451995880719e-05
DinucleotideCG,3.8208367822449796e-05
DinucleotideAT,2.919948906814396e-05
DinucleotideGA,2.4967446799779385e-05
DinucleotideGG,2.442231909503185e-05
DinucleotideGT,1.887084999629284e-05
DinucleotideCT,1.799821199650239e-05
DinucleotideCA,4.878548243442278e-06
DinucleotideTG,3.831189935348368e-06
DinucleotideTC,2.3359987170418083e-06
DinucleotideAG,7.303874275256782e-07
