LongNonCodingRnaIdentifier,AdenineRatio,ThymineRatio,CytosineRatio,GuanineRatio,GuanineCytosineContent,LowComplexityRegionRatio,DinucleotideAA,DinucleotideAT,DinucleotideAC,DinucleotideAG,DinucleotideTA,DinucleotideTT,DinucleotideTC,DinucleotideTG,DinucleotideCA,DinucleotideCT,DinucleotideCC,DinucleotideCG,DinucleotideGA,DinucleotideGT,DinucleotideGC,DinucleotideGG,SampleLabel
NR_152524.2,0.2766,0.2651,0.2046,0.2537,0.4583,1.0,0.0672,0.0492,0.0492,0.0918,0.0443,0.059,0.0492,0.0934,0.0754,0.077,0.041,0.0066,0.0721,0.0607,0.059,0.0541,1
NR_186287.1,0.2694,0.2711,0.2099,0.2496,0.4595,1.0,0.0646,0.0497,0.048,0.0877,0.0447,0.0613,0.0513,0.0944,0.0728,0.0811,0.043,0.0066,0.0695,0.0596,0.0596,0.053,1
NR_186284.1,0.2741,0.2657,0.2081,0.2521,0.4602,1.0,0.0661,0.0492,0.0492,0.0898,0.0458,0.0576,0.0492,0.0949,0.0729,0.0814,0.0424,0.0068,0.0712,0.0593,0.061,0.0525,1
NR_186274.1,0.2717,0.2683,0.21,0.25,0.46,1.0,0.0651,0.0451,0.0518,0.0902,0.0501,0.0584,0.0484,0.0918,0.0718,0.0818,0.0451,0.0067,0.0668,0.0634,0.0584,0.0534,1
NR_186261.1,0.2683,0.2664,0.2143,0.251,0.4653,1.0,0.0658,0.0522,0.0464,0.087,0.0406,0.058,0.0522,0.0967,0.0774,0.0812,0.0445,0.0058,0.0696,0.0561,0.0638,0.0522,1
ENST00000831376.1|ENSG00000310526.1|-|-|WASH7P-283|WASH7P|1640|,0.222,0.1579,0.3146,0.3055,0.6201,1.0,0.036,0.0256,0.0549,0.1019,0.0128,0.0238,0.0488,0.0708,0.0915,0.0732,0.0866,0.036,0.0787,0.0336,0.097,0.075,0
ENST00000831333.1|ENSG00000310526.1|-|-|WASH7P-266|WASH7P|1809|,0.2211,0.1598,0.3167,0.3024,0.6191,1.0,0.0348,0.0277,0.0542,0.1007,0.0138,0.0238,0.0487,0.0719,0.0924,0.073,0.0885,0.0343,0.0769,0.0337,0.0962,0.0752,0
ENST00000831243.1|ENSG00000310526.1|-|-|WASH7P-237|WASH7P|1285|,0.207,0.1626,0.3385,0.2918,0.6304,1.0,0.0265,0.0273,0.067,0.0818,0.0164,0.0257,0.0498,0.0693,0.0903,0.0802,0.0974,0.0389,0.0701,0.028,0.0927,0.0771,0
ENST00000831232.1|ENSG00000310526.1|-|-|WASH7P-232|WASH7P|1342|,0.2154,0.1557,0.3294,0.2996,0.6289,1.0,0.035,0.0224,0.0619,0.0917,0.0127,0.0239,0.05,0.0679,0.0917,0.0768,0.0917,0.041,0.0723,0.0313,0.0977,0.0746,0
ENST00000831231.1|ENSG00000310526.1|-|-|WASH7P-231|WASH7P|1658|,0.2226,0.1568,0.3185,0.3022,0.6206,1.0,0.035,0.026,0.0555,0.102,0.0133,0.0229,0.0483,0.0706,0.0923,0.0736,0.0893,0.035,0.0785,0.0326,0.0972,0.0742,0
